10000 40000
7890 2618 31578
7890 4161 31579
7890 7079 31580
30 613 131
30 1802 132
30 3668 133
30 6830 134
30 7065 135
30 7679 136
613 4921 2422
613 6321 2423
1802 1042 7134
1802 4482 7135
1802 4797 7136
1802 5783 7137
3668 1916 14775
3668 4094 14776
3668 6614 14777
6830 1618 27307
6830 2228 27308
6830 2680 27309
6830 7815 27310
6830 7861 27311
6830 9259 27312
6830 9769 27313
7065 232 28221
7065 3655 28222
7065 4730 28223
7065 4848 28224
7065 5392 28225
7065 7068 28226
7065 9196 28227
7679 415 30684
7679 3394 30685
7679 3577 30686
7679 5607 30687
7679 6650 30688
7679 8811 30689
7679 9104 30690
31 276 137
31 447 138
31 1744 139
31 3360 140
31 9428 141
31 9552 142
276 1089 1054
276 5101 1055
276 9553 1056
447 7631 1733
447 9332 1734
1744 1176 6895
1744 1968 6896
1744 2435 6897
1744 9632 6898
3360 1562 13527
9428 1589 37686
9428 4663 37687
9428 6117 37688
9428 9027 37689
9552 489 38196
9552 4137 38197
9552 7300 38198
32 672 143
32 7165 144
672 2688 2646
672 3579 2647
672 3856 2648
672 8350 2649
672 8408 2650
672 9111 2651
7165 383 28646
7165 3439 28647
7165 5455 28648
7165 6864 28649
7165 7337 28650
7165 8559 28651
33 2112 145
33 3520 146
33 7140 147
33 7618 148
33 9218 149
33 9249 150
2112 4301 8400
2112 5946 8401
2112 6881 8402
2112 7828 8403
3520 2268 14193
3520 5811 14194
7140 2011 28526
7140 2038 28527
7140 3200 28528
7140 4368 28529
7140 6283 28530
7140 6936 28531
7140 8256 28532
7140 8860 28533
7140 9433 28534
7618 1931 30448
7618 2289 30449
7618 4117 30450
7618 4443 30451
7618 6458 30452
7618 7332 30453
7618 7477 30454
7618 9076 30455
9218 935 36829
9218 1637 36830
9218 3345 36831
9218 4223 36832
9218 6628 36833
9218 9917 36834
9249 3926 36973
9249 6902 36974
34 643 151
34 2986 152
34 4626 153
34 5379 154
34 5844 155
34 6709 156
34 9791 157
643 1710 2548
643 4506 2549
643 8770 2550
2986 322 12067
2986 1145 12068
2986 4050 12069
2986 5829 12070
2986 7337 12071
2986 9915 12072
4626 7458 18573
4626 8121 18574
5379 806 21498
5379 3390 21499
5379 8099 21500
5379 8434 21501
5844 2444 23382
5844 5187 23383
5844 6685 23384
5844 7898 23385
6709 2772 26847
6709 3935 26848
6709 5672 26849
6709 5892 26850
9791 576 39117
9791 3603 39118
9791 4124 39119
9791 4168 39120
9791 8663 39121
35 1613 158
35 3349 159
35 6404 160
35 7640 161
1613 634 6402
1613 9114 6403
3349 2096 13492
3349 3885 13493
3349 4381 13494
3349 4394 13495
3349 5343 13496
3349 5382 13497
3349 5670 13498
3349 5686 13499
3349 6789 13500
3349 8844 13501
3349 9766 13502
6404 1430 25650
6404 2043 25651
6404 2565 25652
6404 3677 25653
6404 7023 25654
6404 7834 25655
6404 8319 25656
7640 57 30534
7640 2004 30535
7640 6338 30536
7640 8262 30537
7640 8346 30538
36 1181 162
36 3147 163
36 3549 164
36 5364 165
1181 89 4679
1181 801 4680
1181 3430 4681
1181 3651 4682
1181 3972 4683
1181 5929 4684
1181 8479 4685
1181 8812 4686
3147 2629 12725
3147 3971 12726
3147 4021 12727
3147 8997 12728
3147 9720 12729
3147 9964 12730
3549 5470 14308
3549 9522 14309
5364 394 21442
5364 9215 21443
5364 9337 21444
5364 9493 21445
37 4588 166
4588 936 18405
4588 8508 18406
38 6827 167
38 9136 168
6827 2942 27296
6827 3131 27297
6827 3336 27298
6827 8770 27299
6827 9766 27300
9136 3112 36520
39 2501 169
39 2852 170
39 3762 171
39 4173 172
39 5377 173
39 5974 174
2501 961 10012
2501 2807 10013
2501 3634 10014
2501 5827 10015
2852 6043 11491
2852 8071 11492
2852 9328 11493
3762 7389 15146
3762 8233 15147
4173 107 16774
4173 186 16775
4173 264 16776
4173 4383 16777
5377 1134 21491
5377 1956 21492
5377 9497 21493
5974 2027 23956
5974 7391 23957
40 4700 175
40 7805 176
4700 5734 18857
4700 5740 18858
4700 8475 18859
4700 9262 18860
7805 242 31189
7805 2601 31190
7805 4815 31191
7805 5711 31192
7805 5842 31193
7805 7395 31194
7805 9192 31195
41 6772 177
41 9230 178
6772 553 27091
6772 3767 27092
6772 5649 27093
9230 1952 36890
9230 3505 36891
9230 6024 36892
9230 6536 36893
9230 7523 36894
9230 7936 36895
42 1833 179
42 3073 180
42 4367 181
42 5292 182
42 7838 183
1833 7561 7254
3073 750 12412
3073 3530 12413
3073 4981 12414
4367 2998 17522
4367 6252 17523
4367 9070 17524
7838 299 31326
7838 2469 31327
7838 4795 31328
43 80 184
43 4776 185
80 1944 330
80 3290 331
80 4974 332
80 6076 333
80 9282 334
4776 160 19163
4776 534 19164
4776 8729 19165
4776 9872 19166
44 53 186
44 3212 187
44 3391 188
44 4197 189
44 4416 190
53 1641 219
53 8828 220
3212 41 12960
3212 4200 12961
3212 5898 12962
3212 9810 12963
3391 5483 13646
3391 6247 13647
3391 6602 13648
4197 86 16875
4197 4533 16876
4197 5367 16877
4197 6342 16878
4416 3178 17725
4416 3881 17726
4416 3976 17727
4416 5949 17728
4416 6761 17729
4416 8636 17730
45 948 191
45 3870 192
45 6006 193
45 9105 194
948 2547 3771
948 3783 3772
948 3867 3773
948 4051 3774
948 5016 3775
948 7026 3776
948 7638 3777
3870 247 15566
3870 4156 15567
3870 5321 15568
3870 6731 15569
6006 6535 24081
9105 1958 36408
9105 4426 36409
46 1677 195
46 4191 196
46 8169 197
46 9705 198
1677 1438 6639
1677 3423 6640
1677 4849 6641
4191 369 16852
4191 5661 16853
4191 9891 16854
4191 9928 16855
8169 2044 32662
8169 3237 32663
9705 314 38769
9705 2106 38770
9705 2525 38771
9705 2912 38772
47 3355 199
47 5850 200
47 6361 201
3355 7100 13519
5850 5704 23409
5850 7293 23410
5850 9937 23411
6361 314 25496
6361 758 25497
6361 1200 25498
6361 1281 25499
6361 9176 25500
6361 9422 25501
48 1419 202
48 5181 203
48 6447 204
1419 556 5607
1419 1060 5608
1419 1110 5609
1419 2152 5610
1419 8174 5611
5181 1897 20707
5181 5353 20708
5181 9735 20709
6447 3667 25824
6447 5165 25825
6447 6226 25826
6447 8929 25827
6447 9847 25828
49 185 205
49 271 206
49 5539 207
185 175 740
185 4225 741
185 4628 742
271 1479 1033
271 4597 1034
271 4891 1035
271 6707 1036
271 8424 1037
50 1964 208
50 4872 209
50 5268 210
50 6461 211
1964 6452 7784
1964 7199 7785
1964 7664 7786
1964 8294 7787
4872 1334 19504
4872 2798 19505
4872 3702 19506
4872 4243 19507
4872 5173 19508
5268 3953 21046
5268 4173 21047
5268 8480 21048
5268 8681 21049
5268 8942 21050
6461 2347 25892
6461 4603 25893
6461 7009 25894
6461 7688 25895
6461 8036 25896
6461 9313 25897
51 3303 212
51 7508 213
3303 287 13302
3303 3963 13303
3303 5539 13304
3303 6699 13305
3303 7428 13306
7508 1245 30039
7508 2312 30040
7508 5191 30041
7508 5337 30042
7508 6692 30043
52 412 214
52 1376 215
52 5443 216
52 6708 217
52 8342 218
412 1251 1592
412 2947 1593
412 3640 1594
412 6141 1595
412 6703 1596
412 6710 1597
412 7660 1598
412 7984 1599
1376 5482 5448
1376 6597 5449
1376 6649 5450
1376 7331 5451
5443 586 21755
5443 2314 21756
5443 6606 21757
5443 8926 21758
5443 9440 21759
5443 9864 21760
6708 457 26844
6708 941 26845
6708 8719 26846
8342 2397 33343
8342 2742 33344
8342 3224 33345
8342 6335 33346
8342 8694 33347
8342 9952 33348
1641 1325 6494
1641 7450 6495
8828 1867 35313
8828 2037 35314
8828 4790 35315
8828 5129 35316
54 106 221
54 2598 222
54 3195 223
54 6497 224
54 7514 225
54 7515 226
54 8708 227
106 597 438
106 3771 439
106 3939 440
106 5124 441
2598 640 10358
2598 1714 10359
2598 4418 10360
2598 6636 10361
2598 7168 10362
2598 7478 10363
2598 9928 10364
3195 372 12896
3195 473 12897
3195 3536 12898
3195 3987 12899
6497 211 26033
6497 1960 26034
6497 2480 26035
6497 3234 26036
6497 3933 26037
6497 6321 26038
6497 8448 26039
7514 2413 30060
7514 4013 30061
7514 8416 30062
7514 9628 30063
7515 1379 30064
7515 2444 30065
7515 4861 30066
8708 1025 34826
8708 5508 34827
8708 5611 34828
8708 7294 34829
8708 8312 34830
55 959 228
55 1647 229
55 6569 230
55 7394 231
959 3174 3824
959 4480 3825
959 6999 3826
959 8907 3827
1647 644 6513
1647 5534 6514
1647 7887 6515
1647 9728 6516
6569 1953 26299
6569 4929 26300
6569 5776 26301
6569 7361 26302
7394 4768 29577
7394 6332 29578
7394 6839 29579
7394 9743 29580
56 888 232
56 3617 233
56 8473 234
56 9171 235
888 760 3551
888 5088 3552
888 7447 3553
3617 1394 14565
3617 7136 14566
8473 9371 33852
9171 1845 36660
9171 3630 36661
9171 4320 36662
9171 9253 36663
4042 6461 16253
4042 8817 16254
5703 3097 22804
5703 8384 22805
7688 6365 30718
7688 7571 30719
7688 7666 30720
7688 9060 30721
7688 9230 30722
8405 3921 33578
8405 8772 33579
58 3259 240
3259 8606 13130
59 2936 241
59 5791 242
59 6021 243
59 6466 244
59 7073 245
2936 194 11855
2936 1146 11856
2936 2637 11857
2936 4814 11858
2936 5446 11859
2936 5831 11860
2936 7377 11861
2936 8741 11862
2936 9170 11863
5791 972 23154
5791 3726 23155
5791 7659 23156
5791 9499 23157
6021 7728 24150
6466 295 25910
6466 567 25911
6466 4428 25912
6466 7516 25913
6466 7775 25914
6466 9070 25915
7073 3960 28259
7073 6377 28260
7073 7986 28261
7073 8062 28262
7073 8491 28263
60 1690 246
60 4422 247
60 7651 248
1690 1168 6689
1690 1423 6690
1690 1801 6691
1690 6073 6692
1690 9420 6693
4422 147 17758
4422 442 17759
4422 839 17760
4422 3923 17761
4422 4946 17762
4422 7886 17763
7651 421 30578
7651 2075 30579
7651 6723 30580
61 1377 249
61 4117 250
61 6064 251
61 8064 252
61 8548 253
61 8694 254
1377 1881 5452
1377 3849 5453
1377 4130 5454
4117 2202 16565
4117 5512 16566
4117 5868 16567
4117 9238 16568
6064 2154 24296
6064 2540 24297
6064 2926 24298
6064 3756 24299
6064 4394 24300
6064 6050 24301
6064 6337 24302
6064 7435 24303
6064 8601 24304
8064 339 32253
8064 2875 32254
8064 9072 32255
8548 4433 34157
8548 9103 34158
8694 6225 34773
62 688 255
62 2976 256
62 4404 257
62 5256 258
62 5470 259
62 5842 260
62 9149 261
688 3319 2714
688 4063 2715
688 9096 2716
2976 84 12020
2976 1192 12021
2976 6591 12022
2976 7165 12023
4404 4226 17680
4404 7909 17681
4404 8394 17682
5470 116 21868
5470 2570 21869
5470 2751 21870
5470 4702 21871
5842 442 23370
5842 996 23371
5842 2238 23372
5842 3498 23373
5842 6057 23374
5842 6109 23375
5842 6563 23376
5842 8506 23377
5842 9818 23378
9149 422 36572
9149 3649 36573
63 1521 262
63 2943 263
63 4810 264
63 7633 265
1521 391 6023
1521 3283 6024
1521 5902 6025
1521 5958 6026
2943 6236 11894
2943 8628 11895
4810 6653 19288
4810 8341 19289
7633 1955 30509
7633 2908 30510
64 438 266
64 5069 267
64 6150 268
438 737 1694
438 1175 1695
5069 288 20236
5069 1452 20237
5069 1714 20238
5069 7160 20239
6150 446 24642
6150 894 24643
6150 2518 24644
6150 5350 24645
6150 8352 24646
6150 8936 24647
6150 9597 24648
781 1140 3090
781 6714 3091
781 9473 3092
4923 5576 19691
4923 9597 19692
5117 209 20435
5117 7981 20436
6213 144 24881
6213 618 24882
6213 5795 24883
6213 6512 24884
6213 7542 24885
6213 8408 24886
8610 518 34415
8610 3170 34416
8610 4195 34417
8610 4489 34418
8610 9066 34419
8897 1590 35582
8897 3117 35583
8897 8520 35584
66 1373 275
66 2814 276
66 6443 277
1373 436 5438
1373 962 5439
1373 4710 5440
1373 8490 5441
2814 2880 11331
2814 3495 11332
2814 4937 11333
2814 5202 11334
6443 178 25797
6443 641 25798
6443 5856 25799
6443 6073 25800
6443 6993 25801
67 161 278
67 2811 279
67 3659 280
67 6916 281
67 7514 282
67 7723 283
67 8693 284
161 184 647
161 1002 648
161 4791 649
161 8451 650
2811 2592 11317
2811 5501 11318
2811 6423 11319
2811 9209 11320
3659 4990 14734
3659 6344 14735
6916 96 27666
6916 1103 27667
6916 2369 27668
6916 3308 27669
6916 6712 27670
6916 7164 27671
6916 8262 27672
7723 2025 30845
7723 4928 30846
7723 5540 30847
7723 5697 30848
7723 9598 30849
8693 3416 34769
8693 5178 34770
8693 6866 34771
8693 6936 34772
68 903 285
68 8218 286
903 3909 3610
903 8598 3611
903 8797 3612
903 9076 3613
8218 5350 32862
8218 6290 32863
8218 6332 32864
69 1099 287
69 4186 288
69 8346 289
1099 1487 4352
1099 3877 4353
1099 4052 4354
1099 4155 4355
1099 7579 4356
1099 9254 4357
4186 4532 16829
4186 5457 16830
4186 7434 16831
4186 8054 16832
8346 1962 33361
8346 3860 33362
8346 7102 33363
8346 8899 33364
8346 9289 33365
70 2297 290
70 4269 291
70 4520 292
70 8178 293
70 8887 294
70 9258 295
2297 395 9142
2297 1543 9143
2297 2383 9144
2297 2933 9145
2297 3274 9146
2297 8171 9147
4269 0 17133
4269 875 17134
4269 4535 17135
4269 5089 17136
4520 6311 18131
4520 6987 18132
4520 9582 18133
8178 485 32692
8178 1326 32693
8178 2851 32694
8178 3364 32695
8178 7434 32696
8887 199 35538
8887 1735 35539
8887 4092 35540
8887 7667 35541
8887 9565 35542
9258 3948 37001
9258 6484 37002
9258 6536 37003
9258 7239 37004
71 2772 296
71 4841 297
71 4975 298
71 6016 299
71 8980 300
2772 3448 11118
2772 4442 11119
2772 8109 11120
2772 8574 11121
4841 5116 19405
4841 5204 19406
4841 8169 19407
4975 634 19888
4975 1951 19889
4975 7318 19890
6016 1213 24124
6016 3071 24125
6016 4267 24126
6016 4663 24127
6016 7944 24128
6016 8022 24129
8980 5091 35910
8980 7087 35911
8980 7528 35912
8980 7909 35913
8980 8500 35914
8980 9056 35915
72 1226 301
72 1596 302
72 6480 303
72 8132 304
72 9310 305
1226 205 4866
1226 3060 4867
1226 5934 4868
1226 9693 4869
1596 288 6327
1596 588 6328
1596 916 6329
1596 5406 6330
1596 6402 6331
1596 6924 6332
6480 669 25968
8132 264 32511
8132 3242 32512
8132 4111 32513
8132 4636 32514
8132 8696 32515
8132 9676 32516
8132 9805 32517
9310 1824 37227
9310 2277 37228
9310 3916 37229
9310 7745 37230
9310 9185 37231
73 274 306
73 3805 307
73 4846 308
73 8821 309
73 9752 310
274 7583 1046
274 9925 1047
3805 3 15308
3805 2295 15309
3805 4050 15310
3805 6970 15311
3805 8971 15312
3805 9205 15313
4846 3803 19418
4846 5421 19419
4846 7638 19420
8821 159 35280
8821 1957 35281
8821 5804 35282
8821 6142 35283
8821 8385 35284
8821 8447 35285
8821 8832 35286
8821 9703 35287
9752 73 38958
9752 3879 38959
9752 3897 38960
74 3869 311
74 9734 312
74 9869 313
9734 1558 38887
9734 2393 38888
9734 3565 38889
9734 3918 38890
9734 4488 38891
9734 8017 38892
9869 999 39441
9869 1309 39442
9869 1438 39443
9869 2419 39444
9869 7431 39445
9869 7733 39446
9869 7919 39447
9869 7952 39448
9869 8315 39449
9869 9172 39450
9869 9914 39451
75 3537 314
3537 1068 14260
3537 1926 14261
3537 2624 14262
3537 2817 14263
3537 3818 14264
3537 3879 14265
3537 6872 14266
76 75 315
76 5872 316
76 8913 317
5872 3528 23504
5872 6421 23505
8913 1193 35652
8913 1704 35653
8913 5375 35654
8913 7090 35655
77 4841 318
77 8839 319
8839 847 35358
8839 3467 35359
8839 4753 35360
8839 5332 35361
8839 8244 35362
8839 9736 35363
78 564 320
78 4990 321
78 5302 322
78 8176 323
78 9136 324
564 982 2203
564 4199 2204
564 4733 2205
564 5334 2206
564 8718 2207
4990 904 19949
4990 2041 19950
4990 6285 19951
5302 2178 21183
5302 9993 21184
8176 4123 32683
8176 4759 32684
8176 5471 32685
8176 5967 32686
79 573 325
79 756 326
79 5298 327
79 7715 328
79 9875 329
573 2152 2242
573 3340 2243
573 3532 2244
573 5492 2245
573 8609 2246
756 2850 2991
756 3028 2992
756 3638 2993
756 5301 2994
756 9266 2995
756 9601 2996
5298 3901 21166
5298 3928 21167
5298 6694 21168
5298 6727 21169
5298 7081 21170
5298 8949 21171
7715 554 30822
7715 8728 30823
9875 877 39467
9875 932 39468
9875 1569 39469
9875 2210 39470
9875 5567 39471
9875 5780 39472
9875 6759 39473
9875 7149 39474
1944 1612 7697
1944 4825 7698
1944 9804 7699
3290 2713 13253
3290 3725 13254
3290 4992 13255
3290 6249 13256
3290 6911 13257
4974 115 19885
4974 6973 19886
4974 7225 19887
6076 735 24347
6076 1041 24348
6076 5517 24349
9282 4552 37106
9282 7144 37107
9282 7525 37108
9282 8641 37109
9282 9978 37110
81 955 335
81 7303 336
81 8556 337
955 6112 3813
7303 3247 29227
7303 3507 29228
7303 3782 29229
7303 5687 29230
7303 6147 29231
7303 7519 29232
8556 104 34186
8556 318 34187
8556 3174 34188
